,_time,chainName,activeValidators,apr,blockHeight,blockTime,bondedTokens,communityTokens,inflation,jailedValidators,supplyTokens,totalValidators,tps,txs
58,2023-01-24 18:00:00+00:00,cosmos,175,0.21062018,13797445,6.6718889,203501000000000.0,1822160000000.0,0.146205306,325,325732000000000.0,500,0.553858813,29052411
59,2023-01-24 19:00:00+00:00,cosmos,175,0.210632229,13797985,6.67217,203504000000000.0,1822750000000.0,0.146213656,325,325737000000000.0,500,0.254103776,29053958
60,2023-01-24 20:00:00+00:00,cosmos,175,0.210640875,13798525,6.6677908,203511000000000.0,1823340000000.0,0.146222067,325,325743000000000.0,500,0.33249335,29055477
61,2023-01-24 21:00:00+00:00,cosmos,175,0.210653458,13799086,6.6499435,203515000000000.0,1823960000000.0,0.146230772,325,325750000000000.0,500,0.40966054,29057079
62,2023-01-24 22:00:00+00:00,cosmos,175,0.210657135,13799643,6.6394632,203527000000000.0,1824570000000.0,0.146239413,325,325756000000000.0,500,0.501747465,29058726
63,2023-01-24 23:00:00+00:00,cosmos,175,0.210664447,13800199,6.6263911,203536000000000.0,1825180000000.0,0.146248079,325,325762000000000.0,500,0.307214419,29060185
64,2023-01-25 00:00:00+00:00,cosmos,175,0.210676498,13800762,6.6097765,203540000000000.0,1825800000000.0,0.146256806,325,325768000000000.0,500,0.621785088,29061951
65,2023-01-25 01:00:00+00:00,cosmos,175,0.210659894,13801323,6.6002265,203573000000000.0,1826410000000.0,0.146265521,325,325774000000000.0,500,0.384125155,29063571
66,2023-01-25 02:00:00+00:00,cosmos,175,0.210663483,13801881,6.5900002,203585000000000.0,1827020000000.0,0.146274165,325,325780000000000.0,500,0.508023264,29065392
67,2023-01-25 03:00:00+00:00,cosmos,175,0.210617379,13802429,6.5832706,203645000000000.0,1827630000000.0,0.146282629,325,325786000000000.0,500,0.534838258,29067133
68,2023-01-25 04:00:00+00:00,cosmos,175,0.210647122,13802983,6.5734601,203632000000000.0,1828240000000.0,0.14629123,325,325792000000000.0,500,0.538409434,29069084
69,2023-01-25 05:00:00+00:00,cosmos,175,0.210670829,13803544,6.5609476,203625000000000.0,1828850000000.0,0.1462999,325,325798000000000.0,500,0.444467238,29071061
70,2023-01-25 06:00:00+00:00,cosmos,175,0.210681015,13804104,6.5442526,203631000000000.0,1829470000000.0,0.146308554,325,325805000000000.0,500,0.70804375,29073359
71,2023-01-25 07:00:00+00:00,cosmos,175,0.210264974,13804655,6.5394883,204049000000000.0,1830070000000.0,0.14631691,325,325811000000000.0,500,0.346086625,29075298
72,2023-01-25 08:00:00+00:00,cosmos,175,0.210237062,13805205,6.5343702,204092000000000.0,1830680000000.0,0.146325153,325,325817000000000.0,500,0.408541663,29077195
73,2023-01-25 09:00:00+00:00,cosmos,175,0.210249776,13805761,6.5217337,204092000000000.0,1831190000000.0,0.146332124,325,325822000000000.0,500,0.293939656,29078657
74,2023-01-25 10:00:00+00:00,cosmos,175,0.210258293,13806314,6.5129206,204099000000000.0,1831800000000.0,0.146340392,325,325828000000000.0,500,0.279534575,29079992
75,2023-01-25 11:00:00+00:00,cosmos,175,0.210311505,13806872,6.5040255,204063000000000.0,1832410000000.0,0.146348758,325,325834000000000.0,500,0.501495199,29081121
76,2023-01-25 12:00:00+00:00,cosmos,175,0.210323025,13807432,6.4914286,204068000000000.0,1833030000000.0,0.146357243,325,325840000000000.0,500,0.449352759,29082467
77,2023-01-25 13:00:00+00:00,cosmos,175,0.210335231,13807983,6.48157,204071000000000.0,1833640000000.0,0.146365565,325,325846000000000.0,500,0.172054851,29084060
78,2023-01-25 14:00:00+00:00,cosmos,175,0.21034369,13808527,6.4796072,204078000000000.0,1834230000000.0,0.146373721,325,325852000000000.0,500,0.277734382,29085402
79,2023-01-25 15:00:00+00:00,cosmos,175,0.21035516,13809083,6.4803673,204083000000000.0,1834850000000.0,0.146382116,325,325858000000000.0,500,0.312673708,29086545
80,2023-01-25 16:00:00+00:00,cosmos,175,0.210352471,13809644,6.4794097,204101000000000.0,1835460000000.0,0.146390538,325,325865000000000.0,500,0.307676529,29087726
81,2023-01-25 17:00:00+00:00,cosmos,175,0.210365949,13810204,6.4772018,204104000000000.0,1836090000000.0,0.146399103,325,325871000000000.0,500,0.329449299,29088989
82,2023-01-25 18:00:00+00:00,cosmos,175,0.210377895,13810762,6.4796983,204108000000000.0,1836710000000.0,0.146407504,326,325877000000000.0,501,0.451663337,29090575
83,2023-01-25 19:00:00+00:00,cosmos,175,0.21039458,13811323,6.4796797,204107000000000.0,1837320000000.0,0.146415937,326,325883000000000.0,501,0.288028193,29091896
84,2023-01-25 20:00:00+00:00,cosmos,175,0.209990554,13811882,6.4808345,204515000000000.0,1837940000000.0,0.146424258,326,325889000000000.0,501,0.554611945,29093323
85,2023-01-25 21:00:00+00:00,cosmos,175,0.210002883,13812440,6.4728366,204519000000000.0,1838550000000.0,0.146432424,326,325895000000000.0,501,0.661636132,29094761
86,2023-01-25 22:00:00+00:00,cosmos,175,0.210010666,13812998,6.471285,204526000000000.0,1839170000000.0,0.146440545,326,325902000000000.0,501,0.399354088,29096517
87,2023-01-25 23:00:00+00:00,cosmos,175,0.21002103,13813560,6.4706623,204531000000000.0,1839780000000.0,0.146448721,326,325908000000000.0,501,0.680770842,29098512
88,2023-01-26 00:00:00+00:00,cosmos,175,0.21003864,13814118,6.4707193,204529000000000.0,1840390000000.0,0.14645684,326,325914000000000.0,501,0.59148951,29100613
89,2023-01-26 01:00:00+00:00,cosmos,175,0.210064821,13814673,6.465882,204519000000000.0,1841010000000.0,0.14646501,326,325920000000000.0,501,0.412325356,29102347
90,2023-01-26 02:00:00+00:00,cosmos,175,0.210093247,13815235,6.458935,204507000000000.0,1841630000000.0,0.146473222,326,325926000000000.0,501,0.557165144,29103944
91,2023-01-26 03:00:00+00:00,cosmos,175,0.21010774,13815792,6.4592558,204508000000000.0,1842240000000.0,0.146481335,326,325932000000000.0,501,0.727974538,29105681
92,2023-01-26 04:00:00+00:00,cosmos,175,0.210120154,13816346,6.4592093,204511000000000.0,1842850000000.0,0.146489432,326,325938000000000.0,501,0.378214826,29107352
93,2023-01-26 05:00:00+00:00,cosmos,175,0.210118294,13816910,6.4555419,204528000000000.0,1843470000000.0,0.146497688,326,325945000000000.0,501,0.331391495,29109218
94,2023-01-26 06:00:00+00:00,cosmos,175,0.209986377,13817471,6.455559,204672000000000.0,1844090000000.0,0.146505876,326,325951000000000.0,501,0.62688489,29111201
95,2023-01-26 07:00:00+00:00,cosmos,175,0.209997256,13818027,6.4508712,204676000000000.0,1844700000000.0,0.146513913,326,325957000000000.0,501,0.895208911,29113477
96,2023-01-26 08:00:00+00:00,cosmos,175,0.210002977,13818583,6.4427955,204686000000000.0,1845310000000.0,0.146521964,326,325963000000000.0,501,0.717164128,29115913
