chainName,fig1,fig2,corr,p_values
juno,priceChangePercentage14d,low24h,0.6328821262341578,1.455620661072666e-273
juno,priceChangePercentage14d,price,0.6439281185862324,3.433585561107928e-286
juno,priceChangePercentage14d,priceChangePercentage1Y,0.5472341232902477,6.55391495320866e-191
juno,priceChangePercentage14d,priceChangePercentage30D,0.7587300522355174,0.0
juno,priceChangePercentage14d,priceChangePercentage7d,0.6808289424942323,0.0
juno,priceChangePercentage14d,totalVolume,0.503125756137041,6.273806028624088e-157
juno,priceChangePercentage14d,inflation,0.5044394563112163,7.180763506974592e-158
juno,priceChangePercentage14d,capBTC,0.5078758649906154,2.36687160226123e-160
juno,priceChangePercentage14d,priceBTC,0.5103864920798717,3.489719130842375e-162
juno,priceChangePercentage1H,priceChangePercentage1HBTC,0.7187161311017015,0.0
juno,priceChangePercentage1Y,priceChangePercentage14d,0.5472341232902477,6.55391495320866e-191
juno,priceChangePercentage1Y,priceChangePercentage30D,0.6686381516513066,2.0180619e-316
juno,priceChangePercentage24H,capChange24h,0.9662277936012297,0.0
juno,priceChangePercentage24H,capChangeRatio24H,0.9877983408581302,0.0
juno,priceChangePercentage24H,change24h,0.973164971834443,0.0
juno,priceChangePercentage24H,changeRatio24H,0.9999999999996574,0.0
juno,priceChangePercentage30D,cap,0.8308146257009567,0.0
juno,priceChangePercentage30D,high24h,0.8127651780477512,0.0
juno,priceChangePercentage30D,low24h,0.8101549436201961,0.0
juno,priceChangePercentage30D,price,0.8204320040104264,0.0
juno,priceChangePercentage30D,priceChangePercentage14d,0.7587300522355174,0.0
juno,priceChangePercentage30D,priceChangePercentage1Y,0.6686381516513066,2.0180619e-316
juno,priceChangePercentage30D,priceChangePercentage7d,0.5291845944088405,2.1459048289375787e-176
juno,priceChangePercentage30D,supplyCirculating,-0.5938925345468378,7.614475448906638e-233
juno,priceChangePercentage30D,totalVolume,0.6340403578974724,7.297356950053042e-275
juno,priceChangePercentage30D,apr,0.5458436953642065,9.254252594933469e-190
juno,priceChangePercentage30D,bondedTokens,-0.5376975170187541,3.940450834073551e-183
juno,priceChangePercentage30D,inflation,0.6710155442995055,1.74346e-319
juno,priceChangePercentage30D,capBTC,0.7261147793725424,0.0
juno,priceChangePercentage30D,priceBTC,0.7265179032826554,0.0
juno,priceChangePercentage30D,totalVolumeBTC,0.6254055194820285,2.643152852907634e-265
juno,priceChangePercentage7d,cap,0.5005458234435416,4.308263296957428e-155
juno,priceChangePercentage7d,priceChangePercentage14d,0.6808289424942323,0.0
juno,priceChangePercentage7d,priceChangePercentage30D,0.5291845944088405,2.1459048289375787e-176
juno,supplyCirculating,cap,-0.9085004653937174,0.0
juno,supplyCirculating,high24h,-0.9279281659909708,0.0
juno,supplyCirculating,low24h,-0.9183213371923868,0.0
juno,supplyCirculating,price,-0.9231625066756344,0.0
juno,supplyCirculating,priceChangePercentage30D,-0.5938925345468378,7.614475448906638e-233
juno,supplyCirculating,totalVolume,-0.6595788838787179,5.274476348662108e-305
juno,supplyCirculating,apr,-0.9807983350452592,0.0
juno,supplyCirculating,bondedTokens,0.9789640935451633,0.0
juno,supplyCirculating,communityTokens,-0.8772168017517619,0.0
juno,supplyCirculating,inflation,-0.988627319650193,0.0
juno,supplyCirculating,capBTC,-0.951042030552423,0.0
juno,supplyCirculating,priceBTC,-0.9544238476212981,0.0
juno,supplyCirculating,totalVolumeBTC,-0.7225426766618331,0.0
juno,totalVolume,cap,0.6990757374557901,0.0
juno,totalVolume,high24h,0.7109432488570191,0.0
juno,totalVolume,low24h,0.672365558423512,3.083e-321
juno,totalVolume,price,0.7054246271960148,0.0
juno,totalVolume,priceChangePercentage14d,0.503125756137041,6.273806028624088e-157
juno,totalVolume,priceChangePercentage30D,0.6340403578974724,7.297356950053042e-275
